Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470n,C_0805_2012Metric,90.300000,-103.900000,180.000000,top
D1,D_TVS,D_SOD-123F,85.700000,-110.300000,180.000000,top
F1,500mA,Fuse_1206_3216Metric,90.300000,-110.300000,0.000000,top
J1,JST_SH_SM04B-SRSS-TB_1x04,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,79.400000,-103.800000,0.000000,top
R1,5.1K,R_0603_1608Metric,84.300000,-102.100000,270.000000,top
R2,5.1K,R_0603_1608Metric,85.800000,-102.100000,270.000000,top
R3,1M,R_1206_3216Metric,90.300000,-101.700000,180.000000,top
U1,SRV05-4,SOT-23-6,88.900000,-107.000000,90.0,top
USB1,HRO-TYPE-C-31-M-14,HRO-TYPE-C-31-M-12-Assembly,100.000000,-100.000000,180.000000,top
